temperature,humidity,visibility,wind_speed,hour,weather_condition,risk_level
10.46,64.7,12.19,17.06,22,Rain,Low
30.59,64.3,8.94,3.36,16,Clear,Medium
10.72,41.4,8.17,15.36,8,Clear,Medium
23.85,68.0,13.09,14.48,19,Clear,Medium
3.8,65.6,5.09,9.07,16,Rain,Medium
12.53,75.0,13.3,6.59,8,Clear,Low
3.6,43.6,7.08,31.45,10,Rain,Low
10.93,65.2,9.49,2.51,15,Heavy Rain,Medium
25.08,89.9,9.52,14.45,5,Clear,Low
-5.73,100.0,7.72,5.43,15,Clear,Low
20.21,88.0,6.71,21.43,7,Rain,Medium
17.85,43.8,7.89,8.58,22,Clear,Low
7.87,73.1,5.96,5.23,13,Clear,Low
-2.35,56.3,14.89,17.36,18,Clear,Medium
15.87,70.1,7.56,0.55,13,Clear,Low
8.65,51.1,12.48,8.28,4,Rain,Medium
17.79,34.2,12.08,18.21,16,Cloudy,Low
15.26,58.8,10.09,25.56,15,Fog,High
34.22,78.0,8.59,3.34,3,Heavy Rain,High
12.13,70.2,9.58,6.5,22,Thunderstorm,Medium
2.72,72.3,10.72,15.17,2,Rain,High
17.15,68.9,9.3,5.98,9,Clear,Low
17.64,72.3,4.3,24.22,2,Clear,Medium
31.31,74.5,3.55,3.0,18,Clear,Low
25.02,60.1,13.53,8.06,10,Rain,Medium
19.28,66.5,1.1,14.35,12,Rain,Medium
32.56,96.4,9.59,12.46,21,Clear,Low
0.73,67.6,8.3,3.33,10,Rain,Low
7.32,65.8,9.48,27.49,11,Clear,Low
3.88,66.9,5.58,11.18,13,Rain,Medium
10.32,61.1,10.05,1.9,22,Clear,Low
-1.52,57.2,9.62,6.27,10,Clear,Low
22.62,68.8,15.0,3.45,5,Cloudy,Medium
12.33,55.9,9.39,22.98,7,Thunderstorm,High
-2.65,62.4,13.04,2.93,13,Rain,Medium
2.81,50.8,4.5,26.02,18,Cloudy,High
18.76,66.9,12.06,9.5,20,Cloudy,Low
25.06,75.5,9.68,0.25,12,Cloudy,Low
38.96,61.2,9.81,6.91,11,Clear,Low
45.0,28.8,9.85,10.06,22,Rain,Medium
19.97,75.6,14.12,5.68,16,Clear,Low
3.13,67.2,9.77,14.13,0,Cloudy,Low
-10.58,47.1,6.65,7.94,15,Clear,Low
18.21,78.9,7.15,20.6,18,Heavy Rain,High
5.24,39.8,11.45,10.72,18,Clear,Low
10.02,83.8,10.34,8.18,3,Cloudy,Low
7.65,64.0,4.41,20.76,12,Cloudy,Low
13.31,24.2,10.54,14.05,18,Heavy Rain,High
27.79,68.2,5.75,18.97,22,Thunderstorm,High
16.88,57.7,10.31,22.34,20,Clear,Low
13.1,55.0,6.58,9.36,18,Clear,Low
2.57,51.7,8.16,12.34,18,Rain,Medium
-5.1,62.7,7.37,19.59,8,Clear,Medium
9.16,56.3,13.56,10.06,14,Clear,Low
14.35,31.6,10.21,11.08,0,Clear,Low
36.22,87.9,12.78,9.98,2,Clear,Low
16.56,60.6,15.0,15.37,6,Cloudy,Medium
26.79,51.8,9.14,4.79,23,Cloudy,Low
9.01,44.7,13.51,21.86,5,Cloudy,Low
0.78,78.9,6.9,5.36,7,Clear,Low
3.42,41.6,12.76,7.87,19,Clear,Low
6.3,67.4,6.58,6.02,0,Snow,Medium
40.54,54.5,8.94,23.07,4,Cloudy,Low
5.14,55.5,10.61,6.77,0,Snow,High
25.06,45.1,11.08,28.08,14,Thunderstorm,High
4.16,53.8,5.18,25.26,17,Cloudy,Medium
26.18,65.2,6.4,6.92,22,Fog,Medium
19.62,69.2,10.83,21.24,19,Clear,Low
13.12,50.9,7.9,13.17,17,Clear,Low
14.51,63.4,4.81,26.88,19,Rain,Medium
7.14,81.0,8.79,20.56,22,Clear,Low
20.35,35.1,8.64,31.74,13,Rain,Medium
9.54,64.9,9.53,2.06,3,Fog,Medium
0.29,47.9,10.59,13.72,15,Thunderstorm,High
-0.34,46.1,10.4,3.52,7,Cloudy,Medium
17.07,69.7,6.7,7.33,21,Rain,Low
33.95,55.2,7.77,32.25,12,Rain,Medium
16.92,43.1,11.78,16.21,15,Cloudy,Low
13.58,88.8,7.37,20.86,12,Cloudy,Low
18.43,81.6,7.81,16.63,8,Rain,Medium
30.67,30.2,4.49,16.05,21,Cloudy,Low
17.63,38.5,8.91,7.3,22,Heavy Rain,Medium
10.07,75.7,10.04,5.62,21,Clear,Low
28.28,59.9,3.07,7.06,23,Rain,Medium
20.15,92.0,5.79,12.57,0,Cloudy,Medium
33.43,76.1,4.73,11.26,15,Clear,Low
17.2,70.4,11.37,14.16,10,Snow,Medium
0.31,46.6,3.26,6.43,13,Cloudy,Low
-1.42,73.8,8.76,10.82,10,Rain,Medium
34.81,42.0,11.15,16.73,22,Clear,Low
35.68,88.5,9.56,19.96,19,Clear,Low
12.85,72.6,7.68,1.22,18,Snow,High
10.4,50.2,10.04,4.85,15,Cloudy,Low
32.54,79.5,12.11,18.78,2,Clear,High
1.72,100.0,8.68,17.3,4,Cloudy,Medium
4.26,61.1,2.28,24.1,22,Cloudy,Medium
22.72,74.9,12.44,23.73,1,Thunderstorm,High
10.26,57.2,10.2,33.73,17,Clear,Medium
14.94,66.5,8.9,9.37,14,Cloudy,Low
13.04,37.9,3.06,26.21,17,Cloudy,Medium
19.05,65.0,8.11,3.72,23,Clear,Low
31.89,65.8,6.37,33.55,9,Rain,Medium
16.09,97.4,5.35,16.09,14,Clear,Low
22.73,32.7,8.59,16.88,0,Clear,Low
-9.6,59.9,7.39,20.91,8,Cloudy,Medium
14.42,88.2,7.59,0.2,6,Cloudy,Low
4.88,60.6,11.22,2.33,19,Fog,High
0.37,61.9,9.77,13.04,7,Rain,Medium
4.46,50.0,7.51,15.11,7,Clear,Medium
10.99,48.2,7.13,30.74,10,Clear,Low
25.99,32.1,7.64,3.46,13,Rain,Medium
-0.92,53.7,8.26,25.86,16,Clear,Medium
15.37,47.2,10.75,9.61,23,Clear,Medium
9.19,67.1,5.87,9.48,10,Thunderstorm,Low
11.07,50.8,13.38,10.53,14,Rain,Medium
27.03,56.4,10.75,9.25,8,Clear,Low
21.46,56.9,0.79,16.38,14,Clear,Medium
31.05,64.1,9.26,8.45,5,Heavy Rain,Medium
13.15,55.5,12.12,0.69,5,Cloudy,Low
6.65,45.9,10.17,9.59,18,Clear,Low
12.31,66.5,7.76,16.11,16,Cloudy,Medium
17.91,84.2,8.82,0.62,18,Fog,High
17.12,67.3,9.53,17.24,17,Clear,Low
1.99,54.0,11.31,22.62,8,Rain,High
16.09,62.8,4.75,25.32,18,Snow,High
17.74,28.1,7.18,15.04,5,Cloudy,Low
45.0,62.5,13.92,4.24,0,Thunderstorm,Medium
37.52,57.8,9.1,17.83,5,Clear,Low
4.76,48.2,13.58,20.7,16,Rain,Medium
11.55,51.5,15.0,5.73,15,Cloudy,Low
-2.56,57.6,7.52,11.35,17,Cloudy,Medium
7.91,82.9,5.41,16.35,18,Rain,High
18.79,84.7,8.2,28.09,5,Rain,Low
29.47,48.3,12.3,9.7,18,Cloudy,Low
6.25,55.7,12.72,20.02,11,Cloudy,Low
7.15,56.1,15.0,14.85,20,Cloudy,Low
-10.77,79.6,8.89,13.79,0,Thunderstorm,High
13.05,67.6,10.46,23.97,18,Heavy Rain,High
2.25,66.7,6.86,4.52,16,Cloudy,Medium
8.65,74.7,1.48,14.07,11,Cloudy,Medium
4.48,54.3,8.88,12.24,20,Fog,Low
13.87,89.5,5.54,1.56,6,Heavy Rain,Medium
-6.09,65.0,10.93,23.09,8,Rain,High
-2.6,49.6,3.36,19.46,8,Rain,High
40.55,60.9,6.78,12.3,11,Clear,Low
-0.45,87.2,9.8,9.65,6,Clear,Medium
1.84,57.3,10.12,12.0,16,Clear,Low
37.04,82.1,8.86,18.37,2,Cloudy,Medium
45.0,53.7,14.6,12.48,0,Rain,Medium
0.94,51.2,13.71,5.99,3,Heavy Rain,High
10.58,76.9,6.95,7.35,10,Fog,High
19.1,49.3,13.83,11.89,0,Clear,Low
35.74,79.8,14.29,3.61,15,Heavy Rain,High
3.16,71.3,8.63,15.0,4,Thunderstorm,High
12.06,49.3,9.14,4.86,18,Clear,Low
24.33,63.7,8.85,3.41,20,Clear,Medium
20.22,55.1,7.07,40.74,20,Fog,Medium
10.49,71.3,7.36,29.46,12,Clear,Low
13.39,99.0,12.96,13.3,12,Rain,Medium
-1.5,58.3,10.31,19.66,9,Cloudy,Medium
12.14,74.6,7.34,21.19,3,Cloudy,High
11.8,65.4,6.22,11.32,5,Fog,Low
17.79,65.4,6.73,14.54,5,Cloudy,Medium
8.34,62.0,8.51,9.64,14,Cloudy,Low
20.66,49.6,11.74,23.3,0,Clear,Low
27.15,71.0,6.42,23.42,23,Clear,Low
16.87,59.8,11.71,26.06,2,Cloudy,Medium
19.22,48.7,9.59,14.39,8,Rain,High
15.64,83.3,9.43,31.51,7,Clear,Medium
15.0,66.8,12.08,11.31,20,Cloudy,Low
6.34,60.9,11.53,30.42,15,Cloudy,Low
18.8,89.1,4.79,7.83,22,Heavy Rain,High
13.83,32.0,5.75,0.32,21,Clear,Low
40.12,87.9,8.31,30.25,18,Fog,High
33.88,49.2,10.07,17.94,3,Fog,Medium
19.63,68.8,13.09,16.67,14,Clear,Low
5.84,54.4,9.2,8.76,14,Cloudy,Low
1.65,48.4,14.11,4.39,7,Rain,High
29.29,88.6,6.88,5.25,0,Clear,Low
18.15,98.4,7.39,13.25,0,Snow,High
20.76,61.0,8.08,10.65,9,Thunderstorm,High
-5.94,71.0,6.55,5.47,17,Rain,Medium
26.13,66.0,12.48,27.24,4,Clear,Medium
20.45,96.1,0.69,8.22,22,Clear,Medium
1.67,27.0,7.49,23.15,6,Cloudy,Low
9.34,71.8,12.44,5.65,16,Clear,Low
18.16,51.9,8.06,13.39,1,Heavy Rain,Medium
15.63,22.6,12.22,20.75,0,Cloudy,Low
11.49,58.5,15.0,19.51,12,Rain,Medium
13.76,98.3,9.24,9.59,3,Rain,Medium
11.98,53.2,12.51,16.58,15,Clear,Low
16.83,79.2,15.0,18.08,9,Rain,Medium
32.66,86.6,10.21,10.67,5,Snow,Low
-15.8,64.8,8.86,1.98,23,Cloudy,Medium
12.16,67.2,11.71,6.38,9,Rain,Medium
17.12,34.1,12.55,8.59,2,Clear,Medium
18.55,52.1,8.88,12.23,3,Rain,Medium
10.54,81.3,7.55,26.33,7,Fog,Medium
-6.08,66.1,14.15,20.17,11,Rain,High
18.94,71.6,8.19,4.66,13,Clear,Low
35.73,67.4,12.58,28.53,10,Clear,Low
-3.41,100.0,9.79,11.29,2,Thunderstorm,High
25.37,57.3,14.48,18.05,6,Rain,Low
11.06,93.9,6.45,3.55,2,Cloudy,Medium
14.26,67.4,6.45,7.93,12,Rain,Low
2.37,95.5,11.56,21.34,1,Clear,Medium
10.99,43.0,5.61,4.09,18,Fog,Medium
30.6,68.3,9.35,12.5,12,Cloudy,Low
21.99,57.9,13.65,16.24,6,Clear,Low
35.79,67.5,3.65,2.79,6,Clear,Low
29.13,87.0,10.21,4.0,0,Clear,Medium
20.27,71.8,12.64,20.17,0,Rain,Medium
35.93,87.0,8.92,37.77,15,Rain,Low
20.27,52.9,6.22,16.13,12,Rain,Low
24.94,50.2,8.21,17.86,3,Clear,Low
11.44,65.3,6.48,4.04,17,Heavy Rain,Medium
15.8,64.3,9.21,25.23,23,Snow,High
6.63,61.7,8.17,8.61,16,Rain,Medium
26.88,47.7,7.46,22.47,21,Rain,Low
0.86,86.6,10.4,17.47,16,Clear,Medium
24.39,58.5,13.74,17.69,22,Snow,Medium
12.71,90.7,9.98,17.34,13,Clear,Low
29.05,65.2,13.03,17.05,19,Heavy Rain,High
24.01,76.7,13.74,14.55,18,Cloudy,Low
36.85,75.0,7.24,20.72,7,Clear,Medium
23.77,50.2,9.82,5.47,1,Clear,Low
-3.86,71.6,7.73,9.85,10,Thunderstorm,High
14.2,99.7,4.55,25.21,4,Cloudy,Medium
0.94,69.5,10.07,13.56,20,Cloudy,Low
8.78,81.2,5.84,9.07,16,Fog,High
33.13,77.5,10.45,21.31,21,Cloudy,Low
22.65,70.5,4.33,19.54,8,Snow,High
6.61,68.4,9.51,0.3,13,Snow,Low
2.84,74.9,4.29,18.57,5,Heavy Rain,High
15.39,78.7,11.02,13.24,11,Clear,Low
0.4,40.7,7.82,18.41,0,Thunderstorm,High
6.95,69.5,7.53,12.1,8,Rain,Medium
18.74,61.7,12.38,16.18,20,Cloudy,Low
28.86,58.0,8.04,4.48,14,Heavy Rain,Low
22.31,88.3,9.33,3.95,20,Clear,Low
-12.5,51.8,8.4,18.66,18,Clear,Low
18.65,39.9,10.52,35.59,1,Rain,High
15.86,79.3,12.13,15.31,11,Rain,Low
19.97,39.4,11.51,5.76,7,Cloudy,Medium
34.39,30.3,7.6,13.22,2,Rain,High
-9.76,81.3,12.63,3.96,5,Fog,High
7.91,67.9,6.25,23.25,0,Clear,Low
22.09,73.5,6.77,12.43,4,Cloudy,Low
-3.98,57.0,8.62,21.48,16,Clear,Low
32.71,40.1,12.14,10.62,6,Fog,High
19.42,43.7,5.49,22.28,17,Clear,Low
25.16,60.1,11.67,2.61,7,Cloudy,Medium
8.15,42.1,8.84,12.22,1,Fog,High
24.77,70.5,7.7,16.86,16,Rain,Medium
27.82,56.7,12.29,9.58,3,Clear,Low
17.79,68.3,6.59,15.24,23,Thunderstorm,High
17.81,67.8,15.0,15.08,10,Clear,Medium
18.24,72.0,8.47,21.44,1,Cloudy,Medium
4.64,74.0,9.45,17.59,5,Clear,Low
13.23,58.8,13.63,15.54,7,Rain,Medium
13.17,68.3,9.53,19.92,11,Clear,Low
19.6,69.2,12.57,0.18,16,Snow,Medium
27.0,21.3,3.14,5.23,7,Cloudy,Medium
2.3,76.6,7.67,0.47,7,Clear,Low
13.5,67.7,10.19,16.94,22,Snow,Medium
32.78,75.2,12.24,15.72,4,Heavy Rain,High
6.08,41.8,11.31,24.47,17,Cloudy,Medium
5.13,59.3,11.03,15.16,4,Cloudy,Low
17.43,45.4,12.18,6.31,6,Cloudy,Low
25.13,78.4,10.43,13.21,14,Cloudy,Low
15.14,39.7,2.57,4.88,2,Snow,High
30.95,48.3,13.33,8.33,3,Clear,Medium
25.28,74.6,6.49,9.12,20,Cloudy,Low
25.1,53.7,9.94,14.96,2,Heavy Rain,High
21.65,48.3,9.54,9.49,3,Thunderstorm,High
42.93,81.3,9.14,10.81,17,Clear,Low
12.54,82.1,5.68,3.62,11,Clear,Low
-9.04,78.0,3.18,5.98,8,Heavy Rain,High
34.25,80.3,5.99,18.23,19,Thunderstorm,High
9.51,60.8,11.48,0.92,21,Rain,Medium
16.29,61.3,4.66,16.55,2,Cloudy,Medium
30.71,53.3,6.36,4.7,11,Clear,Low
-4.23,68.0,10.25,3.13,22,Thunderstorm,High
-0.02,55.5,5.92,23.04,3,Rain,High
-4.22,57.2,7.37,23.96,9,Rain,High
5.47,75.8,9.25,7.14,4,Fog,High
20.28,86.3,9.85,7.06,3,Snow,High
21.29,72.2,5.86,9.74,21,Clear,Low
18.32,97.3,9.42,4.71,15,Clear,Low
-1.95,52.3,10.2,6.3,3,Clear,Medium
-12.72,31.9,5.18,16.05,8,Fog,High
15.65,77.9,9.64,30.67,7,Cloudy,Medium
9.34,51.1,6.85,8.81,22,Rain,Low
20.51,60.1,9.37,21.21,7,Cloudy,Medium
23.42,33.1,11.17,15.18,2,Cloudy,Medium
16.66,48.8,8.47,3.05,23,Clear,Low
24.12,38.0,11.74,11.78,1,Fog,High
17.75,57.2,11.37,10.65,23,Cloudy,Medium
21.36,57.9,11.72,25.18,7,Snow,High
6.54,66.6,10.21,25.55,16,Clear,Medium
12.84,87.3,12.3,15.39,13,Clear,Low
17.36,77.2,10.16,22.93,5,Clear,Low
24.85,35.8,4.0,10.68,13,Clear,Low
10.28,75.9,6.62,22.07,4,Rain,Medium
21.25,67.0,8.37,12.9,12,Clear,Low
11.81,63.2,8.74,21.88,1,Cloudy,Low
13.59,64.6,10.07,22.79,5,Clear,Low
24.95,68.7,6.58,18.45,1,Thunderstorm,High
-8.92,52.5,15.0,5.33,15,Clear,Medium
-0.56,61.7,8.69,8.22,22,Heavy Rain,High
-2.79,86.3,8.98,18.77,1,Snow,High
-13.0,52.3,6.99,20.04,14,Thunderstorm,High
6.86,46.5,5.99,13.43,12,Rain,Low
23.99,63.9,8.62,9.19,4,Rain,Medium
11.58,44.6,9.08,13.72,16,Cloudy,Low
17.37,34.0,8.74,9.49,18,Heavy Rain,High
28.07,58.8,13.97,9.54,22,Snow,Medium
30.93,91.1,8.62,29.64,1,Cloudy,Medium
14.17,64.3,8.74,7.72,4,Rain,Medium
31.24,68.2,11.45,16.57,12,Thunderstorm,Low
16.11,26.7,8.49,13.38,18,Clear,Low
4.95,72.9,10.62,0.96,4,Rain,Medium
7.87,66.7,5.16,0.65,8,Clear,Low
-2.77,53.0,5.19,11.27,10,Cloudy,Low
4.34,68.2,9.37,5.57,15,Rain,Low
10.7,68.1,8.31,28.47,5,Cloudy,Low
24.64,45.9,6.57,8.75,7,Clear,Low
35.65,71.0,9.37,8.01,3,Snow,High
-1.59,86.5,9.63,23.01,5,Clear,Medium
19.71,60.9,6.87,10.73,22,Cloudy,Low
2.51,49.4,7.44,17.86,17,Clear,Low
20.7,61.8,9.65,6.85,22,Thunderstorm,High
13.43,80.4,5.94,12.41,22,Cloudy,Low
-6.97,42.9,7.19,20.72,11,Snow,High
26.14,75.4,10.6,4.24,4,Cloudy,Low
7.74,52.8,8.93,16.75,18,Cloudy,Low
8.59,69.4,7.57,9.75,23,Clear,Low
2.16,54.8,6.29,23.39,4,Cloudy,Medium
7.15,54.8,5.96,6.99,18,Snow,Medium
20.13,92.4,8.6,11.23,9,Rain,High
12.73,39.6,15.0,11.12,22,Clear,Low
18.94,73.7,10.7,3.23,5,Cloudy,Medium
19.34,96.2,5.0,2.54,15,Cloudy,Low
30.85,77.3,11.12,16.69,2,Rain,High
10.89,41.0,6.72,17.12,22,Heavy Rain,Medium
-2.72,41.9,8.99,4.03,10,Cloudy,Low
27.81,51.5,7.23,16.87,11,Snow,Medium
11.02,67.8,15.0,17.02,17,Rain,High
28.38,69.1,5.6,8.6,5,Cloudy,Low
19.6,42.1,9.94,0.36,17,Cloudy,Medium
13.43,49.3,6.94,11.66,2,Snow,Medium
19.19,50.4,11.22,15.29,10,Clear,Low
38.41,61.7,9.88,11.47,8,Clear,Medium
39.92,100.0,12.76,6.67,10,Heavy Rain,Medium
15.83,48.2,11.15,16.2,13,Cloudy,Low
16.92,47.4,6.92,23.39,14,Clear,Low
27.91,44.6,15.0,5.07,4,Snow,High
4.85,76.4,10.67,9.32,22,Clear,Low
19.0,64.3,7.35,36.69,15,Rain,Medium
14.69,48.9,9.62,14.62,3,Cloudy,Medium
18.77,58.5,10.89,0.6,3,Rain,Medium
5.0,50.8,10.78,7.7,9,Heavy Rain,High
-4.07,70.3,10.49,5.19,23,Clear,Medium
-9.88,100.0,11.9,15.42,21,Snow,High
1.59,74.9,11.6,14.77,5,Rain,Medium
9.5,63.3,6.46,6.27,13,Snow,Medium
11.48,53.0,15.0,28.71,7,Clear,Medium
38.25,40.8,14.91,12.77,19,Heavy Rain,Medium
28.27,78.2,11.4,7.9,17,Thunderstorm,High
3.45,77.2,9.12,1.01,11,Rain,Low
19.17,56.6,9.17,3.95,8,Fog,High
10.12,86.8,8.03,0.79,22,Cloudy,Low
11.59,65.4,8.42,10.28,10,Rain,Medium
17.22,78.9,2.44,4.04,21,Cloudy,Medium
22.43,70.3,13.59,19.06,0,Cloudy,Low
10.93,61.8,12.53,6.74,10,Rain,Low
27.77,47.8,3.97,19.56,13,Cloudy,Low
1.3,62.4,11.67,16.42,0,Fog,High
15.08,80.2,8.98,17.81,1,Heavy Rain,Medium
45.0,55.9,8.4,20.07,13,Snow,Medium
17.68,72.9,10.48,29.94,17,Rain,High
32.2,45.5,3.77,4.36,4,Snow,High
16.1,79.0,8.97,19.61,21,Cloudy,Low
21.97,70.6,9.24,15.58,5,Rain,Low
14.32,43.4,9.24,21.57,1,Cloudy,Low
12.96,61.0,4.9,13.0,10,Rain,Medium
5.65,81.8,10.34,22.58,2,Clear,Low
20.16,42.3,12.18,0.38,10,Heavy Rain,Medium
4.78,45.7,10.22,2.96,0,Cloudy,Low
22.99,63.7,8.31,6.88,20,Thunderstorm,Low
28.02,100.0,15.0,11.33,15,Snow,High
19.4,52.9,6.23,12.42,0,Rain,Medium
11.57,73.9,11.32,5.34,22,Clear,Low
20.45,69.7,9.73,3.08,7,Rain,Medium
11.3,54.4,15.0,6.1,12,Heavy Rain,Medium
26.23,67.9,10.16,3.38,15,Cloudy,Low
-6.98,56.9,10.8,9.41,9,Rain,Medium
10.97,58.6,10.52,11.47,14,Snow,High
-8.89,35.1,5.83,15.97,3,Clear,Medium
-2.94,64.6,6.39,13.5,7,Cloudy,Medium
31.37,81.2,8.17,28.14,16,Snow,Medium
25.74,66.0,11.87,19.31,4,Cloudy,High
6.37,84.6,9.7,18.64,7,Fog,Medium
-3.03,75.4,8.38,15.28,6,Cloudy,Low
-20.0,63.9,13.12,16.82,3,Cloudy,Medium
8.48,53.7,3.05,10.01,21,Thunderstorm,High
44.04,56.2,5.11,12.9,23,Clear,Low
20.22,38.5,1.51,29.29,6,Cloudy,Medium
8.29,60.2,12.62,11.37,20,Clear,Medium
20.58,67.6,8.71,0.01,11,Thunderstorm,Low
-3.73,95.9,11.9,18.27,5,Clear,Low
11.43,74.5,8.67,19.88,22,Clear,Low
16.19,49.4,12.07,13.39,3,Clear,Low
13.97,39.1,8.62,4.91,2,Rain,Medium
24.49,61.3,10.23,23.58,9,Clear,Medium
19.14,79.6,9.79,14.07,20,Cloudy,Low
23.02,61.0,10.01,9.21,7,Cloudy,Low
6.74,74.8,14.05,22.69,17,Rain,Medium
25.77,61.7,4.13,6.22,20,Cloudy,Medium
34.55,77.9,8.79,13.01,11,Rain,High
3.36,36.2,9.59,7.13,3,Rain,Medium
4.35,93.9,9.14,25.43,22,Snow,High
31.03,45.0,7.81,14.19,19,Rain,Medium
12.7,79.3,7.4,4.22,1,Rain,Medium
31.85,60.1,13.59,22.24,13,Cloudy,Low
9.69,62.9,8.79,10.13,20,Fog,Medium
32.46,60.7,15.0,16.57,13,Heavy Rain,Medium
16.58,69.6,10.58,0.63,4,Rain,Medium
18.1,73.2,8.13,7.84,22,Cloudy,Low
33.78,84.1,10.66,9.83,8,Clear,Low
